;planificacion_slug;convocatoria_slug;adjudicacion_slug;precalificacion_slug;convenio_slug;nro_licitacion;nombre_licitacion;tipo_procedimiento;categoria;convocante;_etapa_licitacion;etapa_licitacion;fecha_entrega_oferta;tipo_licitacion;fecha_estimada;fecha_publicacion_convocatoria;geo
0;404538-mantenimiento-equipos-videoconferencia-1;404538-lpn-sbe-n-02-2022-mantenimiento-equipos-videoconferencia-plurianual-ad-referendum-1;404538-lpn-sbe-n-02-2022-mantenimiento-equipos-videoconferencia-plurianual-ad-referendum-1;;;404538;"LPN SBE Nº 02/2022 ""MANTENIMIENTO DE EQUIPOS DE VIDEOCONFERENCIA - PLURIANUAL AD REFERÉNDUM""";LPN - Licitación Pública Nacional;7 - Servicios Técnicos;Ministerio Público - Fiscalía / Poder Judicial;ADJ;Adjudicada;2022-02-18 08:00:00;tradicional;2022-12-31 00:00:00;2022-01-19 10:13:37;
1;404814-lpn-112-adquisicion-medicamento-palivizumab-100-mg-programa-desarrollo-infantil-temp-1;404814-lpn-112-adquisicion-medicamento-palivizumab-100-mg-programa-desarrollo-infantil-temp-1;404814-lpn-112-adquisicion-medicamento-palivizumab-100-mg-programa-desarrollo-infantil-temp-1;;;404814;LPN 112 - ADQUISICIÓN DE MEDICAMENTO PALIVIZUMAB 100 MG PARA EL PROGRAMA DESARROLLO INFANTIL TEMPRANO PARA LOS HOSPITALES SAN PABLO, NACIONAL, PEDIATRICO Y BARRIO OBRERO DEL MSPYBS- AD REFERENDUM ;LPN - Licitación Pública Nacional;17 - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;2022-02-07 08:00:00;tradicional;2022-12-31 00:00:00;2022-01-26 09:59:44;
2;404924-lpn-116-21-adquisicion-reactivos-e-insumos-hospitales-especializados-mspybs-1;404924-lpn-116-21-adquisicion-reactivos-e-insumos-hospitales-especializados-mspybs-1;404924-lpn-116-21-adquisicion-reactivos-e-insumos-hospitales-especializados-mspybs-1;;;404924;LPN 116/21 - ADQUISICIÓN DE REACTIVOS E INSUMOS PARA HOSPITALES ESPECIALIZADOS DEL MSPYBS;LPN - Licitación Pública Nacional;17 - Equipos, Productos e instrumentales Médicos y de Laboratorio. Servicios asistenciales de salud;Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo;ADJ;Adjudicada;2022-08-18 09:45:00;tradicional;2022-12-31 00:00:00;2022-05-11 09:29:04;
3;405431-construccion-vereda-colegio-nacional-corpus-christi-segunda-etapa-1;405431-construccion-vereda-colegio-nacional-corpus-christi-segunda-etapa-1;;;;405431;CONSTRUCCION DE VEREDA COLEGIO NACIONAL DE CORPUS CHRISTI SEGUNDA ETAPA;CD - Contratación Directa;21 - Construcción, Restauración, Reconstrucción o Remodelación y Reparación de Inmuebles;Municipalidad de Corpus Christi / Municipalidades;EVAL;En Evaluacion (Cerrada);2022-02-04 08:00:00;tradicional;2022-12-31 00:00:00;2022-01-28 07:36:56;
4;406170-provision-combustible-lubricantes-1;406170-provision-combustible-lubricantes-1;;;;406170;Provision de Combustible y Lubricantes;CD - Contratación Directa;15 - Combustibles y Lubricantes;Municipalidad de Tebicuarymi / Municipalidades;EVAL;En Evaluacion (Cerrada);2022-04-19 07:00:00;tradicional;2022-12-31 00:00:00;2022-03-29 18:31:19;
5;406172-provision-almuerzo-escolar-fonacide-1;406172-provision-almuerzo-escolar-fonacide-1;406172-provision-almuerzo-escolar-fonacide-1;;;406172;Provision de Almuerzo Escolar - FONACIDE;CO - Concurso de Ofertas;9 - Servicios de ceremonial, gastronomico y funerarios;Municipalidad de Tebicuarymi / Municipalidades;ADJ;Adjudicada;2022-04-20 07:00:00;tradicional;2022-12-31 00:00:00;2022-03-29 07:18:45;
6;406176-adquisicion-fotocopiadoras-1;;;;;406176;Adquisicion de fotocopiadoras;CD - Contratación Directa;24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento;Municipalidad de Tebicuarymi / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
7;406177-adquisicion-bebederos-1;;;;;406177;Adquisicion de bebederos ;CD - Contratación Directa;23 - Muebles y Enseres;Municipalidad de Tebicuarymi / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
8;406274-adquisicion-sofware-institucion-1;406274-provision-e-instalacion-cableado-estructurado-institucion-1;406274-provision-e-instalacion-cableado-estructurado-institucion-1;;;406274;PROVISION E INSTALACION DE CABLEADO ESTRUCTURADO PARA LA INSTITUCIÓN ;CD - Contratación Directa;7 - Servicios Técnicos;Gobierno Departamental de Misiones / Gobiernos Departamentales;ADJ;Adjudicada;2022-06-03 07:05:00;tradicional;2022-12-31 00:00:00;2022-05-13 11:06:53;
9;406280-contratacion-servicios-publicacion-edictos-periodicos-gobernacion-misiones-1;406280-contratacion-servicios-publicacion-edictos-periodicos-gobernacion-misiones-1;406280-contratacion-servicios-publicacion-edictos-periodicos-gobernacion-misiones-1;;;406280;Contratación de Servicios de Publicación de Edictos en Periódicos para la Gobernación de Misiones;CD - Contratación Directa;8 - Publicidad y Propaganda;Gobierno Departamental de Misiones / Gobiernos Departamentales;ADJ;Adjudicada;2022-03-29 08:05:00;tradicional;2022-12-31 00:00:00;2022-03-11 10:12:22;
10;406295-provision-servicios-funerarios-1;406295-provision-servicios-funerarios-1;406295-provision-servicios-funerarios-1;;;406295;PROVISION DE SERVICIOS FUNERARIOS;CO - Concurso de Ofertas;9 - Servicios de ceremonial, gastronomico y funerarios;Gobierno Departamental de Misiones / Gobiernos Departamentales;ADJ;Adjudicada;2022-09-09 07:05:00;tradicional;2022-12-31 00:00:00;2022-07-14 15:29:16;
11;406320-provision-muebles-escolares-1;;;;;406320;Provision de muebles escolares;CD - Contratación Directa;23 - Muebles y Enseres;Municipalidad de Tebicuarymi / Municipalidades;PLAN;Planificada;;tradicional;2022-12-31 00:00:00;;
